Κωδικός;Όνομα;Υπόλοιπο σε 1η Μ.Μ.;Χονδρική Τιμή;Λιανική Τιμή;Ενεργό
HB100000;HB ΒΑΛΒΙΔΕΣ ΜΑΥΡΟ/ΓΚΡΙ;40,00;0,150;0,200;Ναι
HB100201;HB SPECIAL ALU 310-311 SPRAY 400ML.;0,00;3,270;5,000;Ναι
HB100301;HB SPECIAL 500-505 ΜΕΤΑΛΛΙΚΑ SPRAY 400ML.;0,00;2,850;4,000;Ναι
HB100401;HB SPECIAL ΧΡΥΣΗ ΣΕΙΡΑ SPRAY 400ML.;0,00;3,980;6,000;Ναι
HB100501;HB SPECIAL 312-316 ΦΘΟΡΙΖΟΝ SPRAY 400ML.;0,00;3,980;6,000;Ναι
HB100601;HEAT ΥΨ.ΘΕΡΜΟΚΡ. (HB-MTN) SPRAY 400ML.;49,00;6,500;8,000;Ναι
HB100602;HB SPRAY ENGINE FERRARI RED;0,00;7,500;11,000;Ναι
HB100701;HB PRIMER BODY ΓΚΡΙ-ΚΕΡΑΜ. 400ML.;0,00;2,850;4,000;Ναι
HB100787;HB SPRAY SPECIAL BRONZE 411;0,00;5,000;6,500;Ναι
HB100801;HB 951 BODY ΣΑΓΡΕ ΜΑΥΡΟ SPRAY 400ML.;48,00;4,000;5,000;Ναι
HB100802;HB 951 BODY ΣΑΓΡΕ ΛΕΥΚΟ SPRAY 400ML.;18,00;4,000;5,000;Ναι
HB100803;HB 951 BODY ΣΑΓΡΕ ΓΚΡΙ SPRAY 400ML.;21,00;4,000;5,000;Ναι
HB100889;HB LENS TINT BLACK TR./ CLEAR ΦΑΝΑΡ. SPRAY;10,00;7,000;9,000;Ναι
HB100890;BRAKE CALIPER PAINT(ΔΑΓΚΑΝΕΣ HB-MTN) SPRAY;36,00;10,000;12,500;Ναι
HB100901;HB 900 BODY ΚΕΡΙ ΚΑΦΕ SPRAY 400ML.;5,00;4,000;5,000;Ναι
HB101001;HB FLAT GUIDE ΜΑΥΡΟ ΟΔΗΓΟΣ SPRAY 400ML.;0,00;2,870;4,000;Ναι
HB101101;HB PLASTOFIX BODY SPRAY 400ML.;17,00;7,500;10,000;Ναι
HB101201;HB 960 WASH PRIMER BODY SPRAY 400ML.;18,00;6,000;8,000;Ναι
HB101301;HB ZINC BODY SPRAY 400ML.;0,00;4,550;6,500;Ναι
HB101401;HB 961 ETCH PRIMER SPRAY 400ML.;0,00;5,500;6,500;Ναι
HB101501;HB BUMPER PAINT BODY SPRAY 400ML.;73,00;6,400;8,000;Ναι
HB101502;HB BUMPER TEXTURE SPRAY 400ML.;24,00;6,500;8,000;Ναι
HB101601;HB 360 BODYFILL 2K ΑΣΤΑΡΙ SPRAY 400ML.;25,00;5,800;7,000;Ναι
HB101701;HB CHASSIS COAT 4in1 SPRAY 400ML.;6,00;3,140;5,000;Ναι
HB101801;HB 303 510 QUICK PRIMER 1K SPRAY 400ML.;32,00;6,400;8,000;Ναι
HB101901;HB 777 BLEND-IN ΣΒΗΣΙΜΑΤΟΣ SPRAY;0,00;3,200;5,000;Ναι
HB102001;HB 770 ANTISIL NORMAL SPRAY 400ML.;19,00;4,500;6,000;Ναι
HB102501;HB CONVERTER SPRAY FILL 1LT.;8,00;17,200;22,000;Ναι
HB102511;HB ISOBUTANOL;0,00;4,000;5,400;Ναι
HB102601;HB BUMPER PAINT BLACK 1LT;0,00;16,000;20,000;Ναι
HB102701;HB BUMPER TEXTURED BLACK 04 1LT;0,00;16,000;20,000;Ναι
HB103001;HB SPRAY IRIDA RAL 1007-9010;0,00;3,010;5,000;Ναι
HB103101;HB 962 ISOLATOR PRIMER SPRAY;0,00;6,000;8,000;Ναι
