Κωδικός;Όνομα;Υπόλοιπο σε 1η Μ.Μ.;Χονδρική Τιμή;Λιανική Τιμή;Ενεργό
SP000001;ΣΠΡΕΙ ΚΕΝΑ ΔΙΑΛΥΤΟΥ 400ML;256,00;5,000;6,000;Ναι
SP010111;SPRAY CARS ΛΕΥΚΟ ΓΥΑΛΙΣΤΕΡΟ 600ML.;10,00;6,000;8,000;Ναι
SP010122;SPRAY CARS ΛΕΥΚΟ ΜΑΤ 600ML.;5,00;6,000;8,000;Ναι
SP010211;SPRAY CARS ΜΑΥΡΟ ΓΥΑΛΙΣΤΕΡΟ 600ML.;26,00;6,000;8,000;Ναι
SP010222;SPRAY CARS ΜΑΥΡΟ ΜΑΤ 600ML.;30,00;6,000;8,000;Ναι
SP010233;SPRAY CARS ΜΑΥΡΟ SATINE 600ML.;32,00;6,000;8,000;Ναι
SP011002;SPRAY CARS ΑΣΗΜΙ ΖΑΝΤΩΝ 600ML;46,00;6,000;8,000;Ναι
SP012601;SPRAY DC ΓΥΑΛΙΟΥ ΕΦΕ ΑΜΜΟΒΟΛΗΣ 150ML;3,00;4,690;6,500;Ναι
SP020101;ΚΑΘΑΡΙΣΤΙΚΟ ΚΛΙΜΑΤΙΣΤΙΚΟΥ;0,00;5,960;10,000;Ναι
SP030301;COLORMATIC 1K ΑΣΤΑΡΙ ΓΕΜ/ΚΟ HG2 400ML.;0,00;8,600;12,000;Ναι
SP100201;OTR 060 MARKER BLACK;0,00;4,340;6,500;Ναι
SP100301;OTR 084 MARKER;0,00;3,760;4,500;Ναι
SP100401;OTR 071 MARKER;0,00;5,000;0,000;Ναι
SP100501;OTR 072 MARKER;0,00;5,000;0,000;Ναι
SP100601;OTR 005 SQZ MARKER;0,00;4,500;0,000;Ναι
SP100701;OTR 169 MARKER--MTN 44 GRAPHIC;0,00;4,800;0,000;Ναι
SP100801;OTR 070 MARKER;3,00;6,000;7,500;Ναι
SP100901;OTR 184 MINI MARKER;0,00;3,500;4,000;Ναι
SP101001;OTR 984 INK 200ml;0,00;6,000;0,000;Ναι
SP101101;OTR TIP 15mm;0,00;2,600;0,000;Ναι
SP200101;SPRAY ΝΕΡΟΥ ΑΣΗΜΙ (SILVER) P150 400ML.;9,00;12,700;15,000;Ναι
SP200102;SPRAY ΝΕΡΟΥ ΧΡΥΣΟ (GOLD) P153 400ML.;0,00;12,700;15,000;Ναι
SP200103;SPRAY ΝΕΡΟΥ ΧΑΛΚΟΣ (COOPER) P154 400ML.;4,00;12,700;15,000;Ναι
SP500101;LOOP SPRAY COLORS 400ML.;229,00;3,700;5,000;Ναι
SP500201;LOOP SPRAY METALLIC 400ML.;20,00;4,000;5,500;Ναι
SP500301;SPRAY LOOP TECH 400ML.;0,00;4,000;5,000;Ναι
SP500401;SPRAY LOOP CHROME 600ML.;0,00;4,300;6,050;Ναι
SP500601;SPRAY LOOP SPECIAL 400ML.;0,00;4,000;5,500;Ναι
SP500701;SPRAY LOOP VARNISH 400ML.;0,00;4,130;6,000;Ναι
SP500702;LOOP SPRAY MAXI 600ML.;5,00;6,000;7,500;Ναι
SP510201;LOOP ΒΑΛΒΙΔΕΣ (120 pcs);310,00;0,250;0,000;Ναι
SP550101;DOPE SPRAY CLASSIC 400ML.;12,00;4,000;5,000;Ναι
SP600001;MTN SPRAY 94 400ML;67,00;4,500;5,500;Ναι
SP600102;MTN SPRAY 94 SPECTRAL 400ML.;0,00;3,600;4,000;Ναι
SP600103;MTN SPRAY 94 METALLIC 400ML.;0,00;4,000;5,500;Ναι
SP600104;MTN SPRAY PRO GELCOAT PAINT 400ML.;0,00;7,000;9,000;Ναι
SP600105;MTN SPRAY PRO WASH PRIMER 400ML.;0,00;12,500;16,000;Ναι
SP600106;MTN SPRAY PRO PRIMER ΓΚΡΙ 400ML.;0,00;8,600;11,000;Ναι
SP600107;MTN SPRAY PRO UNIVERSAL PRIMER 400ML.;0,00;8,000;10,000;Ναι
SP600108;MTN SPRAY PRO GLASS-TO-MIRROR 400ML.;1,00;11,000;16,000;Ναι
SP600109;MTN SPRAY PRO MULTI-PURPOSE VINYL 400ML.;4,00;6,500;8,000;Ναι
SP600111;MTN SPRAY PRO VARNISH MATT 400ML.;0,00;6,500;8,000;Ναι
SP600112;MTN SPRAY PRO RADIATOR 400ML.;1,00;6,700;8,300;Ναι
SP600113;MTN SPRAY PRO ΗΛΕΚ/ΚΩΝ ΣΥΚ/ΩΝ 400ML.;0,00;5,000;6,000;Ναι
SP600114;MTN SPRAY PRO ΒΕΡΝΙΚΙ ΜΑΤ 400ML.;0,00;6,000;7,500;Ναι
SP600115;MTN SPRAY PRO BATHTUB&TILE 400ML.;1,00;7,000;8,500;Ναι
SP600116;MTN SPRAY PRO MULTIPURPOSE OIL 400ML.;0,00;6,500;8,000;Ναι
SP600117;MTN SPRAY PRO WHITE GREASE 400ML.;0,00;6,500;8,000;Ναι
SP600118;MTN PRO FROSTED GLASS EFFECT 400ML.;3,00;7,000;8,500;Ναι
SP600119;MTN SPRAY PRO ΖΑΝΤΑΣ 400ML.;0,00;6,000;7,500;Ναι
SP600120;MONTANA SPRAYCANS GRANIT 400ML;0,00;5,000;0,000;Ναι
SP600121;MTN SPRAY PRO BUMPER TEXTURE 400ML.;6,00;8,600;11,000;Ναι
SP600122;MTN SPRAY PRO MARBLE EFFECT 400ML.;2,00;7,000;8,700;Ναι
SP600123;MTN SPRAY PRO ANTI-SLIP 400ML.;3,00;10,000;12,500;Ναι
SP600301;MTN SPRAY 94 FLUO 400ML.;0,00;5,000;6,000;Ναι
SP601001;MTN SPRAY HARDCORE 400ML;0,00;4,000;5,000;Ναι
SP601002;MTN SPRAY HARDCORE METALLIC 400ML;8,00;4,000;5,000;Ναι
SP610302;ΜΤΝ ΒΑΛΒΙΔΕΣ SPRAY;0,00;0,200;0,250;Ναι
SP611001;MONTANA T-SHIRT;0,00;21,000;25,000;Ναι
SP700001;SPRAY ΒΕΡΝΙΚΙ ΝΕΡΟΥ ΜΑΤ 400ML.;0,00;5,600;0,000;Ναι
SP700301;SPRAYPLAST ΔΙΑΦΑΝΟ ΓΥΑΛΙΣΤΕΡΟ 400ml;0,00;15,000;18,000;Ναι
SP800001;SPRAY AMBROSOL ΓΕΝ.ΧΡΗΣΗΣ RAL 400ML.;20,00;5,000;6,500;Ναι
SP800101;SPRAY AMBROSOL ΦΩΣΦΟΡΙΖΕ 400ML.;12,00;5,500;7,000;Ναι
SP800201;SPRAY AMBROSOL INOX 400ML.;0,00;6,000;7,500;Ναι
SP800202;SPRAY AMBROSOL ΑΣΗΜΙ 400ML.;0,00;6,300;8,000;Ναι
SP800203;SPRAY AMBROSOL ΧΡΩΜΙΟ 400ML.;0,00;7,000;9,000;Ναι
SP800301;SPRAY AMBROSOL ΣΤΕΓΑΝΟΠΟΙΗΣΗΣ ΜΑΥΡΟ 400ML.;1,00;7,200;9,000;Ναι
SP800401;SPRAY AMBROSOL ΒΑΦΗΣ ΦΛΟΥΟ 360ο 500ML.;0,00;7,000;9,000;Ναι
SP800501;SPRAY AMBROSOL ΓΡΑΣΟ - ΛΙΘΙΟΥ 400ML.;8,00;5,000;6,500;Ναι
SP800601;SPRAY AMBROSOL SMALTO Λ.ΣΥΣΚ. 400ML.;7,00;6,000;7,500;Ναι
SP800701;SPRAY AMBROSOL ΞΥΛΟΥ ΑΧΡΩΜΟ 400ML.;3,00;6,000;7,500;Ναι
SP800801;SPRAY AMBROSOL ZINC 400ML.;30,00;5,000;6,000;Ναι
SP800901;SPRAY AMBROSOL ΣΙΛΙΚΟΝΗΣ 400ML;0,00;5,000;6,000;Ναι
SP801001;SPRAY AMBROSOL ΚΟΛΛΑΣ ΓΕΝ.ΧΡΗΣΗΣ 400ML.;4,00;6,000;7,500;Ναι
SP801101;SPRAY AMBROSOL ΑΝΤΙΣ/ΚΟ ΛΙΠ/ΚΟ 400ML.;0,00;6,000;7,500;Ναι
SP801201;SPRAY AMBROSOL ΗΛ/ΚΩΝ ΕΠΑΦΩΝ 400ML.;0,00;4,000;5,000;Ναι
SP801301;SPRAY AMBROSOL ΦΡΕΝΩΝ 500ML.;0,00;5,000;6,200;Ναι
SP900101;SPRAY EXADERM (ΠΡΟΣΤΑΤΕΥΤΙΚΗ ΚΡΕΜΑ) 400ML.;1,00;16,000;20,000;Ναι
SP900201;SPRAY CHEMGUARD EXTRA  (ΠΡ/ΚΟ ΕΠΙΣΤΡΩΜΑ) 400ML.;2,00;16,000;20,000;Ναι
